Algorithm,Fault model,Availability probability,Successful repairs,Success total contacted,Success average contacted,Total success wall clock time,Average success wall clock time,Total success process time,Average success process time,Failed repairs,Fail total contacted,Fail average contacted,Total fail wall clock time,Average fail wall clock time,Total fail process time,Average fail process time
random_participants,Permanent,1,10000,54747,5.4747,0.4240230000000095,4.240230000000095e-05,0.42548617999999827,4.254861799999983e-05,0,,,,,,
random_participants,Permanent,0.9,9715,58918,6.064642305712815,0.43141199999998836,4.4406793618115114e-05,0.43268632699999654,4.453796469377216e-05,285,12422,43.5859649122807,0.07550799999999813,0.00026494035087718643,0.07558666999999919,0.0002652163859649094
random_participants,Permanent,0.8,8861,57006,6.433359665951924,0.3987600000000029,4.500169281119545e-05,0.3996239280000222,4.509919061054308e-05,1139,25801,22.652326602282706,0.15539799999999349,0.00013643371378401536,0.15556523899999575,0.00013658054345917097
random_participants,Permanent,0.7,7621,50057,6.568298123605826,0.34873899999998814,4.5760267681405086e-05,0.349548794000031,4.586652591523829e-05,2379,37610,15.809163514081547,0.23028400000000993,9.679865489701973e-05,0.23056966400000212,9.691873224043805e-05
random_participants,Permanent,0.6,5938,39108,6.586055911081172,0.27301400000003495,4.597743347929184e-05,0.2739220450000124,4.613035449646554e-05,4062,50886,12.527326440177253,0.3162049999999872,7.784465780403426e-05,0.3167751390000042,7.798501698670709e-05
random_participants,Permanent,0.5,4154,27674,6.662012518054887,0.19307699999996863,4.6479778526713684e-05,0.1934511689999705,4.656985291284798e-05,5846,61524,10.524119055764626,0.3886849999999922,6.648734177215055e-05,0.3892854940000312,6.659006055423045e-05
random_participants,Permanent,0.4,2643,17430,6.59477866061294,0.12036900000004103,4.554256526675786e-05,0.12060179099999502,4.563064358683126e-05,7357,67714,9.204023379094739,0.42425900000003924,5.766739159984222e-05,0.42515718899999744,5.778947791219212e-05
random_participants,Permanent,0.3,1321,8598,6.508705526116579,0.05982699999998253,4.528917486751138e-05,0.06000860500000016,4.5426650264950916e-05,8679,71089,8.190920612973844,0.4479649999999813,5.1614817375271495e-05,0.4487733680000341,5.170795805968822e-05
random_participants,Permanent,0.2,445,2894,6.503370786516854,0.020947999999997968,4.707415730336622e-05,0.021021583999997873,4.7239514606736794e-05,9555,70477,7.37592883307169,0.4603130000000508,4.8175091575096897e-05,0.4612332130000061,4.827139853479917e-05
random_participants,Permanent,0.1,79,502,6.3544303797468356,0.003526000000005247,4.4632911392471484e-05,0.0035334130000022057,4.472674683547096e-05,9921,65900,6.642475556899506,0.40941799999999073,4.1267815744379675e-05,0.4102973520000086,4.1356451164198023e-05
random_participants,Transient,1,10000,54832,5.4832,0.39701800000004184,3.970180000000418e-05,0.3977847219999999,3.977847219999999e-05,0,,,,,,
random_participants,Transient,0.9,10000,60823,6.0823,0.4340340000000227,4.340340000000227e-05,0.4347853710000189,4.347853710000189e-05,0,,,,,,
random_participants,Transient,0.8,10000,69019,6.9019,0.4745330000000436,4.745330000000436e-05,0.47531446300008895,4.7531446300008895e-05,0,,,,,,
random_participants,Transient,0.7,10000,78414,7.8414,0.5252760000000478,5.252760000000478e-05,0.5262821949999488,5.262821949999488e-05,0,,,,,,
random_participants,Transient,0.6,10000,90871,9.0871,0.5858040000001186,5.858040000001186e-05,0.5865504569999374,5.8655045699993736e-05,0,,,,,,
random_participants,Transient,0.5,10000,110435,11.0435,0.6852049999999892,6.852049999999892e-05,0.6858967070000155,6.858967070000155e-05,0,,,,,,
random_participants,Transient,0.4,10000,138532,13.8532,0.8247669999999818,8.247669999999818e-05,0.8258336749999806,8.258336749999806e-05,0,,,,,,
random_participants,Transient,0.3,10000,182865,18.2865,1.0473519999999414,0.00010473519999999414,1.0482394290000716,0.00010482394290000716,0,,,,,,
random_participants,Transient,0.2,10000,278100,27.81,1.5254889999998493,0.00015254889999998493,1.5264200220001758,0.00015264200220001757,0,,,,,,
random_participants,Transient,0.1,10000,547262,54.7262,2.803475999999879,0.0002803475999999879,2.8043160839999874,0.00028043160839999877,0,,,,,,
stored_intersecting_participants,Permanent,1,10000,55379,5.5379,0.390284999999988,3.90284999999988e-05,0.39126559800005367,3.9126559800005367e-05,0,,,,,,
stored_intersecting_participants,Permanent,0.9,9704,59132,6.093569661995054,0.4056690000004082,4.180430750210307e-05,0.4066286099997285,4.190319558941967e-05,296,12847,43.402027027027025,0.07295400000004904,0.00024646621621638186,0.07302361900001486,0.00024670141554059076
stored_intersecting_participants,Permanent,0.8,8886,57512,6.472203466126491,0.3940099999999269,4.434053567408586e-05,0.39488242200012635,4.4438715057407874e-05,1114,25149,22.5754039497307,0.1477249999999941,0.00013260771992818144,0.14783583899994923,0.00013270721633747688
stored_intersecting_participants,Permanent,0.7,7519,49560,6.591302034845059,0.3368890000001059,4.480502726427795e-05,0.33765737400009144,4.490721824711949e-05,2481,39072,15.748488512696493,0.23231800000000646,9.363885530028475e-05,0.23258762999991234,9.374753325268534e-05
stored_intersecting_participants,Permanent,0.6,5935,39035,6.577085088458298,0.2588289999999809,4.361061499578448e-05,0.25938469099983763,4.370424448185975e-05,4065,50741,12.482410824108241,0.2994280000000451,7.36600246002571e-05,0.29984847300008965,7.376346199264198e-05
stored_intersecting_participants,Permanent,0.5,4241,28193,6.647724593256307,0.18708700000019363,4.4113888233952755e-05,0.18746148900007142,4.420219028532691e-05,5759,60641,10.529779475603403,0.3640460000001191,6.321340510507364e-05,0.36452386100003054,6.329638148984729e-05
stored_intersecting_participants,Permanent,0.4,2666,17628,6.612153038259565,0.11783099999987101,4.419767441855627e-05,0.11806036699985967,4.4283708552085395e-05,7334,67251,9.169757294791383,0.40946199999996225,5.583065175892586e-05,0.4101711569998834,5.592734619578448e-05
stored_intersecting_participants,Permanent,0.3,1334,8692,6.515742128935532,0.058036999999973915,4.35059970014797e-05,0.05813134800000341,4.357672263868322e-05,8666,70965,8.188899146088161,0.4337210000002685,5.004858066008176e-05,0.4345041100000344,5.013894645742377e-05
stored_intersecting_participants,Permanent,0.2,475,3117,6.562105263157894,0.02060100000000631,4.3370526315802755e-05,0.020652238000064216,4.347839578960888e-05,9525,70179,7.367874015748032,0.42598700000003475,4.472304461942622e-05,0.42693200199988723,4.4822257427809686e-05
stored_intersecting_participants,Permanent,0.1,69,459,6.6521739130434785,0.002957999999999572,4.28695652173851e-05,0.0029684269999989965,4.302068115940575e-05,9931,65822,6.627932735877555,0.39513499999989676,3.9788037458453005e-05,0.3958338050000201,3.9858403484041897e-05
stored_intersecting_participants,Transient,1,10000,55186,5.5186,0.39367200000013725,3.936720000001373e-05,0.39476748400004524,3.9476748400004525e-05,0,,,,,,
stored_intersecting_participants,Transient,0.9,10000,61101,6.1101,0.41245800000015365,4.1245800000015366e-05,0.413162847999871,4.13162847999871e-05,0,,,,,,
stored_intersecting_participants,Transient,0.8,10000,69080,6.908,0.4527379999999539,4.527379999999539e-05,0.45361162200014604,4.5361162200014604e-05,0,,,,,,
stored_intersecting_participants,Transient,0.7,10000,78719,7.8719,0.49445799999966766,4.944579999996677e-05,0.4954757859999894,4.9547578599998945e-05,0,,,,,,
stored_intersecting_participants,Transient,0.6,10000,91010,9.101,0.5501490000000118,5.501490000000118e-05,0.5509779170000755,5.5097791700007545e-05,0,,,,,,
stored_intersecting_participants,Transient,0.5,10000,109722,10.9722,0.6347619999999807,6.347619999999808e-05,0.6356931670000421,6.356931670000421e-05,0,,,,,,
stored_intersecting_participants,Transient,0.4,10000,136672,13.6672,0.7540199999998904,7.540199999998904e-05,0.7550485189998604,7.550485189998603e-05,0,,,,,,
stored_intersecting_participants,Transient,0.3,10000,182269,18.2269,0.9549329999999188,9.549329999999188e-05,0.9558755309999931,9.558755309999932e-05,0,,,,,,
stored_intersecting_participants,Transient,0.2,10000,275907,27.5907,1.375061999999982,0.0001375061999999982,1.376065001000054,0.0001376065001000054,0,,,,,,
stored_intersecting_participants,Transient,0.1,10000,549155,54.9155,2.6226749999998127,0.00026226749999998125,2.623770525999923,0.0002623770525999923,0,,,,,,
stored_grouped_participants,Permanent,1,10000,30000,3.0,0.1750189999996934,1.750189999996934e-05,0.17613492299989275,1.7613492299989276e-05,0,,,,,,
stored_grouped_participants,Permanent,0.9,9715,31800,3.2732887287699435,0.18234200000034662,1.876911991768879e-05,0.1832800320000203,1.8865674935668586e-05,285,882,3.094736842105263,0.005498999999993259,1.929473684208161e-05,0.005534135000026197,1.9418017543951568e-05
stored_grouped_participants,Permanent,0.8,8829,30888,3.4984709480122325,0.1770010000000184,2.004768376939839e-05,0.17771088300011684,2.0128087325871202e-05,1171,3696,3.1562766865926557,0.0227240000000819,1.9405636208438855e-05,0.02278435399996681,1.945717677196141e-05
stored_grouped_participants,Permanent,0.7,7526,27823,3.6969173531756576,0.15882800000038344,2.1103906457664555e-05,0.1596554500004359,2.121385197986127e-05,2474,7771,3.1410670978173,0.04783299999994739,1.933427647532231e-05,0.048111918000373066,1.944701616829954e-05
stored_grouped_participants,Permanent,0.6,5820,22439,3.8554982817869417,0.12606699999990667,2.1660996563557848e-05,0.12676508999985714,2.1780943298944525e-05,4180,12989,3.107416267942584,0.0793490000000574,1.8983014354080717e-05,0.07974853600036624,1.907859712927422e-05
stored_grouped_participants,Permanent,0.5,4316,17379,4.026645041705283,0.09886299999975989,2.2906163113938806e-05,0.09933857300013926,2.3016351482886763e-05,5684,17438,3.0679099225897257,0.10844799999993171,1.9079521463745904e-05,0.10890579199992345,1.9160061928206096e-05
stored_grouped_participants,Permanent,0.4,2636,10808,4.100151745068286,0.06145300000008547,2.3312974203370816e-05,0.06167073899995046,2.3395576251878018e-05,7364,21940,2.9793590439978272,0.13690300000025957,1.8590847365597442e-05,0.13752215200008067,1.8674925583932735e-05
stored_grouped_participants,Permanent,0.3,1308,5510,4.212538226299694,0.030818999999965513,2.3561926605478222e-05,0.030954048999852546,2.3665175076339868e-05,8692,24681,2.8395075931891394,0.15468999999962563,1.77968246663168e-05,0.15543045100022823,1.788201231019653e-05
stored_grouped_participants,Permanent,0.2,453,1957,4.320088300220751,0.010997000000052992,2.4275938189962456e-05,0.01104585899999222,2.438379470196958e-05,9547,24775,2.59505603854614,0.160051000000216,1.6764533361287943e-05,0.16075924000035968,1.6838717921897946e-05
stored_grouped_participants,Permanent,0.1,64,285,4.453125,0.0015860000000103014,2.478125000016096e-05,0.0015973309999850471,2.495829687476636e-05,9936,22934,2.3081723027375203,0.15445100000023615,1.554458534623955e-05,0.1551324040001134,1.5613164653795634e-05
stored_grouped_participants,Transient,1,10000,30000,3.0,0.17668100000008735,1.7668100000008736e-05,0.1775211990006511,1.7752119900065112e-05,0,,,,,,
stored_grouped_participants,Transient,0.9,10000,33390,3.339,0.1907659999998117,1.907659999998117e-05,0.191687670999535,1.9168767099953498e-05,0,,,,,,
stored_grouped_participants,Transient,0.8,10000,37526,3.7526,0.20692699999990083,2.0692699999990082e-05,0.20771703099993033,2.0771703099993033e-05,0,,,,,,
stored_grouped_participants,Transient,0.7,10000,42635,4.2635,0.22650400000031823,2.2650400000031824e-05,0.2272986000004309,2.2729860000043088e-05,0,,,,,,
stored_grouped_participants,Transient,0.6,10000,50133,5.0133,0.25629900000018324,2.5629900000018323e-05,0.25711014900014106,2.5711014900014106e-05,0,,,,,,
stored_grouped_participants,Transient,0.5,10000,59716,5.9716,0.2947170000005457,2.9471700000054567e-05,0.2954845559999555,2.9548455599995548e-05,0,,,,,,
stored_grouped_participants,Transient,0.4,10000,75631,7.5631,0.3581029999997156,3.5810299999971565e-05,0.3590659010001289,3.590659010001289e-05,0,,,,,,
stored_grouped_participants,Transient,0.3,10000,101074,10.1074,0.4520660000001868,4.5206600000018684e-05,0.45290804599984824,4.5290804599984825e-05,0,,,,,,
stored_grouped_participants,Transient,0.2,10000,150286,15.0286,0.6540320000000293,6.540320000000292e-05,0.6549472909999636,6.549472909999637e-05,0,,,,,,
stored_grouped_participants,Transient,0.1,10000,300238,30.0238,1.2439690000003694,0.00012439690000003693,1.2449279030002671,0.0001244927903000267,0,,,,,,
