Algorithm,Fault model,Availability probability,Successful repairs,Success total contacted,Success average contacted,Total success wall clock time,Average success wall clock time,Total success process time,Average success process time,Failed repairs,Fail total contacted,Fail average contacted,Total fail wall clock time,Average fail wall clock time,Total fail process time,Average fail process time
random_participants,Permanent,1,1000,6819,6.819,0.08784499999998996,8.784499999998995e-05,0.08822175300000978,8.822175300000978e-05,0,,,,,,
random_participants,Permanent,0.9,998,7655,7.670340681362726,0.08662900000002338,8.680260521044427e-05,0.08691052599999605,8.70846953907776e-05,2,139,69.5,0.0010370000000001767,0.0005185000000000883,0.0010384769999998156,0.0005192384999999078
random_participants,Permanent,0.8,978,8347,8.53476482617587,0.0763320000000034,7.80490797546047e-05,0.07649214200001087,7.821282413089046e-05,22,964,43.81818181818182,0.007187000000000943,0.000326681818181861,0.007199598000000584,0.0003272544545454811
random_participants,Permanent,0.7,909,8170,8.987898789878988,0.05806100000001635,6.387348734875286e-05,0.0581104940000019,6.392793619362145e-05,91,2772,30.46153846153846,0.01680299999999857,0.00018464835164833592,0.016818199000004697,0.00018481537362642525
random_participants,Permanent,0.6,829,7890,9.517490952955368,0.05424700000001703,6.543667068759594e-05,0.05435396600000697,6.556570084439924e-05,171,4001,23.39766081871345,0.02450800000001152,0.00014332163742696794,0.024534226000003656,0.0001434750058479746
random_participants,Permanent,0.5,665,6563,9.869172932330827,0.04626000000000374,6.956390977444172e-05,0.04635219299999349,6.970254586465186e-05,335,6510,19.432835820895523,0.0405359999999968,0.0001210029850746173,0.04057482499999576,0.00012111888059700227
random_participants,Permanent,0.4,483,4906,10.157349896480332,0.03361099999999606,6.958799171841835e-05,0.033719309999994174,6.981223602483266e-05,517,8637,16.705996131528046,0.054392999999985925,0.000105208897485466,0.05446018900000826,0.0001053388568665537
random_participants,Permanent,0.3,283,2890,10.212014134275618,0.019454000000000526,6.874204946996652e-05,0.019490887999998208,6.887239575971099e-05,717,10706,14.931659693165969,0.06570700000000063,9.164156206415708e-05,0.06578598999999574,9.175172942816701e-05
random_participants,Permanent,0.2,128,1313,10.2578125,0.008881999999998058,6.939062499998483e-05,0.008896638999999595,6.950499218749684e-05,872,11771,13.498853211009175,0.0736289999999915,8.443692660549485e-05,0.07375444000001607,8.45807798165322e-05
random_participants,Permanent,0.1,27,268,9.925925925925926,0.001725999999998784,6.392592592588089e-05,0.001729304999998682,6.404833333328453e-05,973,11829,12.157245632065775,0.06949100000000108,7.141932168550984e-05,0.06960579899999075,7.15373062692608e-05
random_participants,Transient,1,1000,6815,6.815,0.04989800000001576,4.9898000000015764e-05,0.050054894999978394,5.005489499997839e-05,0,,,,,,
random_participants,Transient,0.9,1000,7643,7.643,0.05326799999999299,5.3267999999992985e-05,0.05340303299998794,5.3403032999987945e-05,0,,,,,,
random_participants,Transient,0.8,1000,8361,8.361,0.05757699999998778,5.757699999998778e-05,0.057702915999994886,5.770291599999489e-05,0,,,,,,
random_participants,Transient,0.7,1000,9857,9.857,0.06457100000000615,6.457100000000616e-05,0.06464795199998985,6.464795199998985e-05,0,,,,,,
random_participants,Transient,0.6,1000,11188,11.188,0.07246500000002509,7.246500000002509e-05,0.07257718700000115,7.257718700000116e-05,0,,,,,,
random_participants,Transient,0.5,1000,13570,13.57,0.08293900000000765,8.293900000000764e-05,0.0830586039999881,8.30586039999881e-05,0,,,,,,
random_participants,Transient,0.4,1000,17049,17.049,0.10153500000000637,0.00010153500000000637,0.10161392799998215,0.00010161392799998215,0,,,,,,
random_participants,Transient,0.3,1000,22136,22.136,0.1262939999999988,0.0001262939999999988,0.12641480999997867,0.00012641480999997867,0,,,,,,
random_participants,Transient,0.2,1000,34277,34.277,0.18776399999998716,0.00018776399999998717,0.18787614000000463,0.00018787614000000463,0,,,,,,
random_participants,Transient,0.1,1000,68280,68.28,0.3574970000000084,0.00035749700000000837,0.3576611349999972,0.0003576611349999972,0,,,,,,
stored_intersecting_participants,Permanent,1,1000,5537,5.537,0.03955100000000833,3.955100000000833e-05,0.03966019199998261,3.966019199998261e-05,0,,,,,,
stored_intersecting_participants,Permanent,0.9,997,6118,6.136409227683049,0.042402000000016926,4.252958876631587e-05,0.042489888000011966,4.261774122368301e-05,3,126,42.0,0.0008020000000001914,0.00026733333333339715,0.0008025449999990997,0.0002675149999996999
stored_intersecting_participants,Permanent,0.8,980,6876,7.016326530612245,0.04643499999998557,4.7382653061209766e-05,0.04650867699998784,4.745783367345698e-05,20,691,34.55,0.0037320000000002906,0.00018660000000001454,0.0037342789999987858,0.00018671394999993928
